repo,status,weight_class,code_lines,prose_lines,test_lines,generated_lines,stars_at_measurement,license_spdx,license_family,license_note,renamed_to,size_kb
pacifio/atlas,measured,fork-class,235072,6023,38826,0,4720,Apache-2.0,permissive,,,
pallets/flask,measured,medium,10093,14956,8259,0,74756,BSD-3-Clause,permissive,,,
Panniantong/Agent-Reach,measured,medium,7797,3951,10543,0,83156,MIT,permissive,,,
pathwaycom/arc-task-gen,measured,small,1890,235,0,0,11184,MIT,permissive,,,
pollen-robotics/microduck,measured,fork-class,119129,16101,9218,0,8534,Apache-2.0,permissive,,,
Rion-Wu-tech/wechat-intelligence-hub,measured,medium,15502,3209,4181,0,2423,AGPL-3.0,copyleft,,,
ripienaar/free-for-dev,measured,prompt-class,0,1835,0,0,137746,none,none,no licence file: rights stay with the author,,
s1dashu/ip-as-logo-skill,measured,prompt-class,0,205,0,0,5329,MIT,permissive,,,
santifer/career-ops,measured,fork-class,151911,47499,90914,0,72079,MIT,permissive,,career-ops-hq/career-ops,
sapientinc/PRAXIST,measured,fork-class,153912,22134,153425,0,5982,NOASSERTION,source-available,"Fair Source: use limits now, open later",,
ScalarLinkAxe/Optimizer-Toolkit,removed_from_github,,,,,,,,,not measured,,
SenteLabsAI/OpenExecutive,measured,fork-class,112936,18442,69264,0,4988,NOASSERTION,permissive,Apache-2.0,,
sgl-project/sglang,not_downloaded,,,,,,36155,Apache-2.0,permissive,,,370930
spinabot/brigade,measured,fork-class,249300,13559,116225,0,4723,MIT,permissive,,,
stablyai/orca,measured,fork-class,2036238,34179,2463575,0,71980,MIT,permissive,,,
superplanehq/superplane,measured,fork-class,789169,57107,465893,0,7514,Apache-2.0,permissive,,,
tailscale/tailcat,measured,medium,9285,1284,7100,0,7448,BSD-3-Clause,permissive,,,
TauricResearch/TradingAgents,measured,medium,11888,956,10403,0,107483,Apache-2.0,permissive,,,
Tencent/BrowserSkill,measured,fork-class,87397,4049,66914,0,5326,MIT,permissive,,,
Tencent/teamai-cli,measured,fork-class,70628,13931,73386,0,4777,NOASSERTION,permissive,MIT,,
Tencent/WeKnora,measured,fork-class,640467,58123,244045,1269,27026,NOASSERTION,copyleft,AGPL: network use forces you to publish your source; written permission required for some uses,,
THU-MAIC/OpenMAIC,measured,fork-class,352148,26492,238739,0,37837,MIT,permissive,,,
Tiger3807861189/J-Space-Cognition-Suite-V3.6,measured,small,2278,5353,1917,0,3010,Apache-2.0,permissive,,Tiger3807861189/J-Space-Cognition-Suite,
tonhowtf/omniget,measured,fork-class,420057,3582,8125,0,13740,GPL-3.0,copyleft,,,
tt-a1i/archify,measured,fork-class,35245,21185,37047,0,66883,MIT,permissive,,,
vastsa/PI-Desktop,measured,fork-class,249161,122280,90325,0,4383,LGPL-3.0,copyleft,,,
vercel-labs/fx,measured,medium,15487,3254,153664,0,3059,Apache-2.0,permissive,,,
volcengine/OpenViking,measured,fork-class,664756,134669,317896,8038,38018,AGPL-3.0,copyleft,,,
VoltAgent/awesome-agent-skills,measured,prompt-class,0,1899,0,0,,,permissive,MIT,,
VoltAgent/awesome-design-md,measured,prompt-class,0,41012,0,0,116573,MIT,permissive,,,
vorssaint/vorssaint-utils,measured,fork-class,222761,4166,43221,0,19825,GPL-3.0,copyleft,,,
webadderallorg/Recordly,not_downloaded,,,,,,29650,NOASSERTION,,not measured,,327913
Wei-Shaw/sub2api,measured,fork-class,866318,15421,470429,1621,41997,LGPL-3.0,copyleft,,,
workweave/router,measured,fork-class,154263,57045,140801,0,4473,NOASSERTION,source-available,ELv2: may not be offered as a managed service,weave-os/router,
wpzzz/blocked-sites-in-south-korea,measured,prompt-class,94,1120,0,0,7098,none,none,no licence file: rights stay with the author,,
xiaobright/dsh-anchored-standard,measured,medium,15084,1853,3488,0,3809,NOASSERTION,permissive,MIT,,
XiaoDuoYa/codex-with-chatgpt,measured,medium,6304,1703,2862,0,5458,MIT,permissive,,,
yanliudesign/mono-color-skill,measured,small,703,1135,0,0,3149,MIT,permissive,,,
yczz/oc-english,measured,medium,5637,571,733,0,785,none,none,no licence file: rights stay with the author,,
yetone/cumora,measured,fork-class,129299,3747,44754,0,3737,MIT,permissive,,,
yjh051108/dsh-routing-suite,measured,medium,17594,4308,1952,0,7194,MIT,permissive,,,
zhaoxuya520/reverse-skill,measured,medium,8148,124323,338,0,36464,MIT,permissive,,,
zvec-ai/zvec-grep,measured,fork-class,54161,3344,31932,0,3592,Apache-2.0,permissive,,,
